"ID","Year","Tax.Type","NAICS","Total.Taxable","Units","City"
202,"2021 Quarter 3","Sales","All NAICS","$87,903,884","4,116","Clarkston"
202,"2021 Quarter 2","Sales","All NAICS","$85,259,203","4,171","Clarkston"
202,"2021 Quarter 1","Sales","All NAICS","$73,796,701","4,001","Clarkston"
202,"2021 Annual","Sales","All NAICS","$337,627,526","6,977","Clarkston"
202,"2020 Quarter 4","Sales","All NAICS","$81,796,708","4,087","Clarkston"
202,"2020 Quarter 3","Sales","All NAICS","$82,815,749","3,793","Clarkston"
202,"2020 Quarter 2","Sales","All NAICS","$73,808,537","3,673","Clarkston"
202,"2020 Quarter 1","Sales","All NAICS","$68,763,208","3,411","Clarkston"
202,"2020 Annual","Sales","All NAICS","$307,093,266","6,205","Clarkston"
202,"2019 Quarter 4","Sales","All NAICS","$78,451,489","3,528","Clarkston"
202,"2019 Quarter 3","Sales","All NAICS","$76,174,120","3,184","Clarkston"
202,"2019 Quarter 2","Sales","All NAICS","$73,340,019","3,113","Clarkston"
202,"2019 Quarter 1","Sales","All NAICS","$63,174,336","2,936","Clarkston"
202,"2019 Annual","Sales","All NAICS","$290,943,397","5,293","Clarkston"
202,"2018 Quarter 4","Sales","All NAICS","$71,804,744","3,015","Clarkston"
202,"2018 Quarter 3","Sales","All NAICS","$70,994,271","2,592","Clarkston"
202,"2018 Quarter 2","Sales","All NAICS","$66,131,625","2,569","Clarkston"
202,"2018 Quarter 1","Sales","All NAICS","$58,856,646","2,541","Clarkston"
202,"2018 Annual","Sales","All NAICS","$267,582,815","4,511","Clarkston"
202,"2017 Quarter 4","Sales","All NAICS","$65,975,794","3,027","Clarkston"
202,"2017 Quarter 3","Sales","All NAICS","$66,090,190","2,594","Clarkston"
202,"2017 Quarter 2","Sales","All NAICS","$62,980,213","2,528","Clarkston"
202,"2017 Quarter 1","Sales","All NAICS","$56,514,226","2,543","Clarkston"
202,"2017 Annual","Sales","All NAICS","$251,560,423","4,516","Clarkston"
202,"2016 Quarter 4","Sales","All NAICS","$65,610,385","2,946","Clarkston"
202,"2016 Quarter 3","Sales","All NAICS","$64,685,076","2,469","Clarkston"
202,"2016 Quarter 2","Sales","All NAICS","$60,814,114","2,413","Clarkston"
